,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
933,no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,... < 100 DM,1 <= ... < 4 years,NA,male : single,none,NA,real estate,30,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
934,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,NA,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,42,none,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
935,NA,12,existing credits paid back duly till now,NA,1498,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,NA,NA,"car or other, not in attribute Savings account/bonds",23,NA,own,1,unskilled - residentskilled employee / official,NA,NA,NA,good
936,0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,NA,4,male : single,NA,NA,unknown / no property,30,stores,own,NA,OTHER,1,none,yes,bad
937,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,NA,none,2,NA,NA,none,own,1,unskilled - resident,1,NA,yes,bad
938,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,2063,... < 100 DM,NA,4,male : married/widowed,none,3,"car or other, not in attribute Savings account/bonds",NA,none,rent,NA,OTHER,1,"yes, registered under the customers name",yes,good
939,0 <= ... < 200 DM,NA,NA,education,6288,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,42,none,for free,1,unskilled - residentskilled employee / official,1,none,yes,bad
940,no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,NA,2,male : single,none,4,building society savings agreement/ life insurance,46,none,own,NA,OTHER,NA,"yes, registered under the customers name",NA,good
941,no checking account,12,existing credits paid back duly till now,car (new),3527,unknown/ no savings account,... < 1 year,NA,NA,none,3,building society savings agreement/ life insurance,45,none,own,1,OTHER,2,NA,yes,good
942,no checking account,10,existing credits paid back duly till now,NA,NA,... < 100 DM,NA,3,male : single,none,2,real estate,31,NA,own,1,unskilled - resident,NA,none,no,good
943,no checking account,NA,existing credits paid back duly till now,furniture/equipment,NA,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,stores,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
944,NA,4,critical account/ other credits existing (not at this bank),car (new),1455,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,NA,42,NA,own,3,NA,2,none,yes,good
945,... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,... < 100 DM,NA,4,NA,guarantor,NA,building society savings agreement/ life insurance,46,none,rent,NA,NA,1,none,yes,good
946,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,NA,... < 1 year,1,female : divorced/separated/married,NA,1,"car or other, not in attribute Savings account/bonds",30,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
947,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3349,500 <= ... < 1000 DM,NA,NA,male : single,none,4,unknown / no property,NA,none,NA,1,NA,2,"yes, registered under the customers name",yes,bad
948,no checking account,12,existing credits paid back duly till now,car (new),2859,NA,unemployed,4,male : single,none,4,unknown / no property,38,none,own,1,OTHER,1,"yes, registered under the customers name",yes,good
949,no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,43,none,own,NA,unskilled - resident,2,none,yes,bad
950,no checking account,NA,existing credits paid back duly till now,radio/television,3621,NA,NA,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",NA,NA,NA,2,NA,1,none,yes,bad
951,0 <= ... < 200 DM,18,NA,NA,3590,... < 100 DM,unemployed,3,NA,NA,NA,"car or other, not in attribute Savings account/bonds",40,none,NA,3,OTHER,NA,"yes, registered under the customers name",yes,good
952,... < 0 DM,36,delay in paying off in the past,business,NA,NA,NA,NA,NA,none,1,"car or other, not in attribute Savings account/bonds",24,none,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
953,0 <= ... < 200 DM,NA,existing credits paid back duly till now,car (used),4113,500 <= ... < 1000 DM,NA,3,female : divorced/separated/married,NA,NA,NA,NA,none,rent,1,unskilled - residentskilled employee / official,1,none,yes,bad
954,no checking account,36,NA,NA,NA,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,NA,26,NA,own,2,NA,1,NA,yes,bad
955,... < 0 DM,NA,existing credits paid back duly till now,car (new),NA,NA,1 <= ... < 4 years,NA,female : divorced/separated/married,NA,4,building society savings agreement/ life insurance,29,none,NA,1,unskilled - residentskilled employee / official,1,NA,yes,good
956,... < 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,NA,... >= 1000 DM,... >= 7 years,NA,NA,NA,4,building society savings agreement/ life insurance,57,none,rent,2,OTHER,1,"yes, registered under the customers name",yes,good
957,... >= 200 DM / salary assignments for at least 1 year,30,NA,radio/television,3656,unknown/ no savings account,... >= 7 years,4,male : single,NA,4,building society savings agreement/ life insurance,49,stores,own,2,unskilled - resident,1,none,yes,good
958,0 <= ... < 200 DM,9,NA,radio/television,NA,... < 100 DM,... >= 7 years,2,male : single,none,4,real estate,NA,NA,NA,NA,unskilled - resident,1,NA,yes,good
959,... < 0 DM,28,existing credits paid back duly till now,car (new),NA,... < 100 DM,NA,3,male : single,none,NA,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - resident,1,NA,yes,bad
960,0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,... >= 7 years,4,male : single,NA,NA,unknown / no property,NA,none,for free,1,unskilled - residentskilled employee / official,1,NA,yes,good
961,NA,6,NA,radio/television,NA,... < 100 DM,... >= 7 years,2,NA,none,2,real estate,NA,none,NA,2,unskilled - residentskilled employee / official,1,none,yes,good
962,0 <= ... < 200 DM,21,NA,NA,NA,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,47,none,own,2,unskilled - residentskilled employee / official,NA,none,yes,good
963,no checking account,NA,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,29,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
964,no checking account,24,existing credits paid back duly till now,radio/television,2397,NA,... >= 7 years,3,male : single,NA,2,"car or other, not in attribute Savings account/bonds",NA,bank,NA,NA,NA,1,NA,yes,bad
965,0 <= ... < 200 DM,6,NA,NA,454,... < 100 DM,... < 1 year,3,NA,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,NA,none,NA,good
966,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,1715,NA,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",26,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
967,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),radio/television,2520,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,bad
968,no checking account,15,existing credits paid back duly till now,radio/television,3568,... < 100 DM,... >= 7 years,4,NA,NA,2,NA,54,bank,NA,1,OTHER,1,"yes, registered under the customers name",yes,good
969,no checking account,42,existing credits paid back duly till now,radio/television,NA,unknown/ no savings account,4 <= ... < 7 years,2,NA,NA,4,building society savings agreement/ life insurance,29,none,rent,1,unskilled - residentskilled employee / official,1,NA,yes,good
970,... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,... < 100 DM,NA,NA,NA,none,2,real estate,40,NA,own,NA,unskilled - resident,2,none,yes,good
971,0 <= ... < 200 DM,15,existing credits paid back duly till now,OTHER,1514,100 <= ... < 500 DM,NA,NA,NA,guarantor,2,real estate,22,NA,own,1,unskilled - residentskilled employee / official,1,none,NA,good
972,no checking account,24,existing credits paid back duly till now,car (new),7393,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,NA,NA,NA,1,NA,2,none,yes,good
973,... < 0 DM,24,all credits at this bank paid back duly,car (new),NA,... < 100 DM,unemployed,1,female : divorced/separated/married,co-applicant,NA,unknown / no property,29,none,NA,2,OTHER,1,none,yes,bad
974,... < 0 DM,60,existing credits paid back duly till now,business,7297,... < 100 DM,... >= 7 years,NA,male : single,co-applicant,4,unknown / no property,NA,NA,rent,1,unskilled - residentskilled employee / official,1,NA,yes,bad
975,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,2831,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,NA,NA,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
976,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1258,500 <= ... < 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,NA,3,"car or other, not in attribute Savings account/bonds",57,none,NA,NA,unskilled - resident,1,none,yes,good
977,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,753,NA,1 <= ... < 4 years,2,NA,guarantor,3,NA,64,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
978,0 <= ... < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,... >= 7 years,4,male : single,NA,2,building society savings agreement/ life insurance,42,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
979,no checking account,24,delay in paying off in the past,car (new),2538,... < 100 DM,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",47,none,NA,2,unskilled - resident,2,none,yes,bad
980,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),1264,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,NA,25,none,rent,1,unskilled - residentskilled employee / official,1,none,yes,bad
981,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),furniture/equipment,8386,... < 100 DM,4 <= ... < 7 years,2,male : single,none,NA,building society savings agreement/ life insurance,49,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
982,no checking account,48,existing credits paid back duly till now,NA,4844,... < 100 DM,unemployed,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",33,bank,rent,1,OTHER,1,"yes, registered under the customers name",NA,bad
983,... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",28,bank,own,1,OTHER,1,"yes, registered under the customers name",yes,good
984,... < 0 DM,36,existing credits paid back duly till now,NA,8229,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,NA,1,NA,2,none,yes,bad
985,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,... < 100 DM,4 <= ... < 7 years,2,male : single,NA,2,building society savings agreement/ life insurance,30,none,own,NA,unskilled - resident,1,NA,yes,good
986,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,25,none,rent,NA,unskilled - residentskilled employee / official,1,none,yes,good
987,... >= 200 DM / salary assignments for at least 1 year,42,no credits taken/ all credits paid back duly,business,6289,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,33,none,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
988,no checking account,13,existing credits paid back duly till now,radio/television,1409,NA,unemployed,2,female : divorced/separated/married,none,4,real estate,NA,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
